Content,ID,cleaned_content
Y Combinator widens its bet in edtech in latest batch,0,org widen bet edtech late batch
Google’s Family Link updates reflect the pandemic’s impact on how parents view screen time,1,org family link update reflect pandemic impact parent view screen time
GSV Ventures doubles assets managed with new fund focused on global edtech,2,org double asset manage new fund focus global edtech
"After 200% ARR growth in 2020, CourseKey raises $9M to digitize trade schools",3,"percent arr growth date , org raise $ moneyoneymoney digitize trade school"
"Newsela, the replacement for textbooks, raises $100M and becomes a unicorn",4,"product , replacement textbook , raise money unicorn"
ErudiFi raises $5 million Series A to give students in Southeast Asia more education financing options,5,org raise money series student loc education financing option
Tired of ‘Zoom University’? So is edtech,6,tired ' zoom university ' ? edtech
"Language-learning service Babbel adds live classes, games and more",7,"language - learning service org add live class , game"
African edtech startup uLesson lands a $7.5 million Series A,8,african edtech startup org land money series
Sounding Board raises cash as startups wake up to executive coaching,9,org raise cash startup wake executive coaching
Senator: ‘More transparency is needed’ by exam proctoring tech firms,10,senator : ' transparency need ' exam proctor tech firm
Thimble teaches kids STEM skills with robotics kits combined with live Zoom classes,11,org teach kid stem skill robotics kit combine live product class
YC-backed BlaBla raises $1.5M to teach English through short videos,12,org - org raise money teach language short video
Tappity raises $1.3M for its interactive and educational video library for kids,13,org raise money interactive educational video library kid
Fluent Forever raises $4.9M for its language learning system,14,org raise money language learning system
Brainly raises $80M as its platform for crowdsourced homework help balloons to 350M users,15,org raise money platform crowdsource homework help balloon cardinal user
Edtech boom continues as IntellectoKids raises $3M from Allrise Capital and others,16,edtech boom continue org raise money org
Plaid accelerator announces inaugural cohort of fintech startups,17,plaid accelerator announce inaugural cohort fintech startup
Cross-border fintech Airwallex raises $100M Series D extension at new valuation of $2.6B,18,cross - border fintech org raise money series d extension new valuation money
Pre-seed round funding is under scrutiny: Is VC pandemic posturing here to stay?,19,pre - seed round funding scrutiny : vc pandemic posturing stay ?
Planting seed investments on tech’s frontiers nets KdT Ventures $50 million for its latest fund,20,plant seed investment tech frontier net org money late fund
Waterfund commits $50M to OurCrowd’s water and agtech portfolio,21,org commit money org water agtech portfolio
"Nuvemshop, LatAm’s answer to Shopify, raises $90M in Accel-led Series D",22,"org , org answer org , raise money org - lead series d"
"Aldea Ventures creates ‘hybrid’ European €100M fund to invest both in micro VCs, plus follow-on",23,"org create ' hybrid ' norp € 100 m fund invest micro vc , plus follow -"
Social+ payments: Why fintechs need social features,24,social+ payment : fintech need social feature
Vega raises $5M to give anyone the ability to launch a derivatives market,25,org raise $ moneyoneymoney ability launch derivative market
The Robinhood competitor landscape intensifies as Invstr raises $20M,26,robinhood competitor landscape intensify org raise money
Norrsken Foundation is closing on an oversubscribed impact venture fund at €125 million,27,org close oversubscribed impact venture fund € 125 million
Squarespace raises $300M at a staggering $10B valuation,28,org raise money staggering money
Trading platform eToro to go public via SPAC merger in $10B deal,29,trading platform org public org merger money
"Socure raises $100M at $1.3B valuation, proving identity verification is hotter than ever",30,"org raise money money , prove identity verification hot"
Inovia Capital raises $450M for second growth-stage investment fund,31,org raise money ordinal growth - stage investment fund
BlockFi lands a $350M Series D at a $3B valuation for its fast-growing crypto-lending platform,32,org land money series d $ money valuation fast - grow crypto - lending platform
"African payments company Flutterwave raises $170M, now valued at over $1B",33,"african payment company org raise $ moneyoneymoney , value money"
Former head of the World Resources Institute has a new role leading Bezos’ $10 billion Earth Fund,34,head org new role lead person ' money org
"Equity Monday: More money for fintech, Deliveroo’s IPO and AI startups",35,"equity date : money fintech , org ipo ai startup"
"Microsoft launches ‘Group Transcribe,’ a transcription and translation app for in-person meetings",36,"org launch ' group transcribe , ' transcription translation app - person meeting"
‘Orwellian’ AI lie detector project challenged in EU court,37,' orwellian ' ai lie detector project challenge org court
Aflorithmic nabs $1.3M for AI-driven personalized audio-as-a-service,38,aflorithmic nab $ moneyoneymoney ai - drive personalize audio - - - service
Chinese facial recognition unicorn Megvii prepares China IPO,39,norp facial recognition unicorn org prepare gpe ipo
Veo raises $25M for AI-based cameras that record and analyze football and other team sports,40,org raise money ai - base camera record analyze football team sport
VSCO acquires mobile app Trash to expand into AI-powered video editing,41,org acquire mobile app product expand ai - power video editing
ultimate.ai scores $20M for a supportive approach to customer service automation,42,ultimate.ai score money supportive approach customer service automation
UK to invest in AI and cyber as part of major defense spending hike,43,gpe invest ai cyber major defense spending hike
Tiliter bags $7.5M for its ‘plug and play’ cashierless checkout tech,44,org bag money ' plug play ' cashierless checkout tech
Adobe tests an AI recommendation tool for headlines and images,45,org test ai recommendation tool headline image
Google brings its AI-powered SmartReply feature to YouTube,46,org bring ai - power smartreply feature youtube
Biased AI perpetuates racial injustice,47,biased ai perpetuate racial injustice
Greyparrot bags $2.2M seed to scale its AI for waste management,48,org bag money seed scale ai waste management
Codota picks up $12M for an AI platform that auto-completes developers’ code,49,org pick $ moneyoneymoney ai platform auto - complete developer ' code
Ghana’s Redbird raises $1.5M seed to expand access to rapid medical testing in sub-Saharan Africa,50,gpe work_of_art raise money seed expand access rapid medical testing loc
Ro raises $500M to grow its remote and in-home primary care platform,51,org raise money grow remote - home primary care platform
Amazon will expand its Amazon Care on-demand healthcare offering US-wide this summer,52,org expand org care - demand healthcare offering gpe - wide date
"With $19M A round, Halo Dx combines data streams to better diagnose cancers, dementia and more",53,"$ moneyoneymoney round , org combine data stream diagnose cancer , dementia"
Oak HC/FT closes on $1.4 billion to invest in fintech and healthcare startups,54,oak hc / ft close money invest fintech healthcare startup
Notable Health seeks to improve COVID-19 vaccine administration through intelligent automation,55,org seek improve covid-19 vaccine administration intelligent automation
Mate Fertility is aiming to create a franchise of fertility clinics open to everyone,56,org aim create franchise fertility clinic open
"Maya, a startup focused on accessible healthcare in Asia, raises $2.2 million seed for regional expansion",57,"org , startup focus accessible healthcare loc , raise money seed regional expansion"
Indian health tech startup Phable raises $12 million to serve patients with chronic conditions,58,norp health tech startup org raise money serve patient chronic condition
"Bot MD, an AI-based chatbot for doctors, raises $5 million for expansion into more Asian markets",59,"product , ai - base chatbot doctor , raise money expansion norp market"
Folx Health raises $25 million for virtual clinical offerings and care for the LGBTQIA+ community,60,org raise money virtual clinical offering care lgbtqia+ community
"LA-based Sidecar Health’s low-cost, cash-pay health insurance service is now valued at $1 billion",61,"gpe - base org low - cost , cash - pay health insurance service value money"
Clubhouse says its Android launch will take ‘a couple of months’,62,org android launch ' couple month '
"This Week in Apps: Parler denied App Store re-entry, Walmart doubles down on TikTok live shopping, Instagram Lite rolls out worldwide",63,"date app : org deny app store - entry , org double product live shopping , product roll worldwide"
"Rent the Runway’s first iOS team launches Runway, an easier way to coordinate app releases",64,"rent product ordinal ios team launch product , easy way coordinate app release"
"Facebook launches BARS, a TikTok-like app for creating and sharing raps",65,"org launch bar , tiktok - like app create share rap"
"Android’s latest update will let you schedule texts, secure your passwords and more",66,"android late update let schedule text , secure password"
"Top 100 subscription apps grew 34% to $13B in 2020, share of total spend remained the same",67,"cardinal subscription app grow percent $ money date , share total spend remain"
Insight launches a customizable iOS browser with support for extensions,68,org launch customizable ios browser support extension
"This Week in Apps: Parler deplatformed, alt apps rise, looking back at 2020 trends",69,"week app : parler deplatforme , alt app rise , look date trend"
"This Week in Apps: Social apps react to riots, Parler gets booted, FTC threatens regulation",70,"week app : social app react riot , person gets boot , org threaten regulation"
Atlanta area gets a 5G incubator courtesy of T-Mobile and Georgia Tech,71,gpe area 5 g incubator courtesy org org
Isotropic Systems raises $40 million for a satellite antenna that could make the most of new constellations,72,org raise money satellite antenna new constellation
"Known for 5G mmWave testing solutions, Taiwan’s TMYTEK sets its sights on base stations",73,know quantity org set sight base station
T-Mobile says hackers accessed some customer call records in data breach,74,org hacker access customer record datum breach
OneWeb launches 36 satellites to join its global broadband constellation on orbit,75,org launch cardinal satellite join global broadband constellation orbit
"Qualcomm’s new chipset for wireless earbuds promises improved noise cancellation, all-day battery life",76,"org new chipset wireless earbud promise improve noise cancellation , - day battery life"
Qualcomm announces the new Snapdragon 888 chip,77,org announce new snapdragon 888 chip
"Gartner: Q3 smartphone sales down 5.7% to 366M, slicing COVID-19 declines in Q1, Q2",78,"org : date percent cardinalcardinal , slice covid-19 decline date"
"OneWeb emerges from bankruptcy, aims to begin launching satellites again on December 17",79,"org emerge bankruptcy , aim begin launch satellite date"
